# Graph Type: undirected
KHK	RANBP3
SNCG	MCM3
CORO1A	UBE2G2
RASGRF2	EPPK1
JPH3	STK24
YWHAG	DENND4A
CIRBP	LXN
SNCG	FUBP1
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
AURKA	UBE2L3
HNF1A	RHPN2
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
USP2	NFKB2
RELA	IQGAP2
TBKBP1	TBK1
TNF	TNFRSF1B
POLQ	AP2S1
NUP93	BRF2
UFL1	CASP4
CASP4	VDAC3
DLG3	CAMK2A
KRT85	DLG3
S100A3	DLG3
SNCG	EXT2
CNTF	EXT2
CLEC2L	EXT2
FABP4	EXT2
FIBP	CLEC2L
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	NUP93
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
AR	HNF4A
FANCC	FANCE
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
BCL2	SERPINB8
AR	CTNNB1
MYC	NMI
H2AX	RAD51
MSH2	BLM
CDH1	HDAC1
HDAC1	MAD1L1
CDH1	HDAC2
HDAC2	MAD1L1
FANCA	FANCF
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
AR	CCNH
AR	CDK7
CHEK2	MSH2
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
AR	AR
SMAD6	CTBP1
AR	DAXX
AR	STAT3
BCL3	NFKB2
RAD51	BABAM2
BRCC3	RAD51
SP1	AR
RBM39	ESR2
TP53	EPHA3
CDH1	VCL
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
BID	FADD
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
TNFRSF1A	BID
TNFRSF1A	FASLG
CDH1	ITGAE
TFAP2A	APC
AR	GSK3B
GSN	AR
SMAD7	BMPR1A
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
TP53	RAD51
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
KIF4A	HMG20B
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	RNF14
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
LCK	PIK3R1
MARK3	RASGRF1
MYC	BCL2
BLM	RAD51
ABL1	BCAR1
CDH1	GNA13
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	IRS1
SFN	AJUBA
SFN	LMO7
SFN	NEDD4L
SFN	OSBPL3
SFN	PKP2
PPP1R3D	SFN
SFN	RALGPS2
SFN	RHPN2
SFN	SHROOM3
SIPA1L1	SFN
SFN	TNS4
WEE1	SFN
FANCA	FANCC
RAD51	RAD51
RAD51C	RAD51
RAD51D	RAD51
XRCC2	RAD51
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
BMP2	BMPR1A
CDH1	CDH1
AR	ZMIZ1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
PIK3CA	ATR
POLD1	ATR
S100B	TP53
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
ABL1	RAD51
YWHAB	RASGRF1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
TP53	TFAP2C
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
RAD51	ATM
FANCA	ATP5F1B
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
HRAS	RASGRF1
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
SIAH2	RBBP8
FANCG	CYP2E1
SPTBN1	EPB41L3
FANCA	DAXX
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	SPTA1
FANCA	ERCC4
FANCA	FANCE
BMPR1A	FKBP1B
FANCA	GNB2
AR	GRIP1
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
FANCA	KRT1
KRT1	FANCC
